Step_Name,Cleaned_Operation
辐照灭菌(外协)检验,辐照灭菌(外协)检验
辐照灭菌-外协,辐照灭菌(外协)
过程包装,过程包装
过程包装 WI-ED-011,过程包装
过程清洗,清洗
进料检验,进料检验
进货检验,进货检验
进货检验 PII-G36432100-01,进货检验
进货检验DMR-00006825,进货检验
酒精清洗,清洗
钎焊（外协）,钎焊(外协)
钝化,钝化
钝化 PS-608379-03-30,钝化
钝化 PS-608383-80,钝化
钝化 WI-109,钝化
钝化(OEM),钝化(外协)
钝化WI-109,钝化
钝化检验,钝化检验
钳,钳工
钳工,钳工
钳工  WI-ED-013,钳工
钳工 PS-36432000-02-20,钳工
钳工 PS-36432000-03-20,钳工
钳工 PS-36432000-04-20,钳工
钳工 PS-36432100-01-120,钳工
钳工 PS-36432100-01-30,钳工
钳工 PS-36432100-01-60,钳工
钳工 PS-608383-50,钳工
钳工 WI-076,钳工
钳工(去毛刺),钳工(去毛刺)
钳工(去毛刺)检验,钳工(去毛刺)检验
钳工(校直),钳工(校直)
钳工(校直)检验,钳工(校直)检验
钳工(装配),钳工(装配)
钳工(装配)检验,钳工(装配)检验
钳工WI-076,钳工
钳工WI-079,钳工
钳工WI-ED-013,钳工
钳工_装配,钳工_装配
钳工_装配检验,钳工_装配检验
钳工检验,钳工检验
钳工检验  PII-G106240-01,钳工检验
钳工检验 PII-G00808,钳工检验
钳工检验 PII-G01245（32372000-01）,钳工检验（32372000-01）
钳工检验 PII-G03115,钳工检验
钳工检验 PII-G1/33140000-H,钳工检验/33140000-H
钳工检验 PII-G133104146R-S,钳工检验
钳工检验 PII-G32802000-H PS工艺,钳工检验 PS工艺
钳工检验 PII-G32802000-S,钳工检验
钳工检验 PII-G32933000B,钳工检验
钳工检验 PII-G33721023B,钳工检验
钳工检验 PII-G33723055B,钳工检验
钳工检验 PII-G35040000-01-J,钳工检验
钳工检验 PII-G35070005,钳工检验
钳工检验 PII-G36100400-01,钳工检验
钳工检验 PII-G36100500-01,钳工检验
钳工检验 PII-G36431000-01,钳工检验
钳工检验 PII-G36431100-01,钳工检验
钳工检验 PII-G36431200-01,钳工检验
钳工检验 PII-G36432000-02,钳工检验
钳工检验 PII-G36432000-03,钳工检验
钳工检验 PII-G36432000-04,钳工检验
钳工检验 PII-G36432100-01,钳工检验
钳工检验 PII-G36471100A,钳工检验
钳工检验 PII-G39590900-H PS工艺,钳工检验 PS工艺
钳工检验 PII-G39659000-02,钳工检验
钳工检验 PII-G39665000-10-B,钳工检验
钳工检验 PII-G39667000-10,钳工检验
钳工检验 PII-G39671000-10,钳工检验
钳工检验 PII-G39789000(PS-A),钳工检验
钳工检验 PII-G39869008-SF,钳工检验
钳工检验 PII-G608383,钳工检验
钳工检验 详细参见检验指导书,钳工检验 详细参见检验指导书
钳工检验PII-G01553,钳工检验
钳工检验PII-G02304,钳工检验
钳工检验PII-G02440,钳工检验
钳工检验PII-G03664,钳工检验
钳工检验PII-G03675,钳工检验
钳工检验PII-G106157-02,钳工检验
钳工检验PII-G139130-01,钳工检验
钳工检验PII-G181060,钳工检验
钳工检验PII-G256105-01,钳工检验
钳工检验PII-G291320,钳工检验
钳工检验PII-G39726000-10,钳工检验
钳工检验参见相关检验文件,钳工检验参见相关检验文件
钳工装配(OEM),钳工装配(外协)
钳工（去毛刺）,钳工（去毛刺）
钳工（去毛刺）检验,钳工（去毛刺）检验
钳工（装配）,钳工（装配）
钳工（装配） WI-076,钳工（装配）
钳工（装配）PS-36432000-30,钳工（装配）
钳工（装配）检验,钳工（装配）检验
钳工（装配）检验 PII-G35040000,钳工（装配）检验
钳装,钳装
钻(深孔),深孔钻
钻(深孔)检验,深孔钻检验
钻孔(外协),钻孔(外协)
钻孔(外协)检验,钻孔(外协)检验
钻深孔,钻深孔
钻深孔(外协),钻深孔(外协)
钻深孔-可外协,钻深孔-可(外协)
钻深孔-外协,钻深孔(外协)
钻深孔-外协-检验 PII-G36431000-01,钻深孔(外协)检验
钻深孔检验,钻深孔检验
钻深孔检验 PII-G39789000(PS-A),钻深孔检验
钻深孔（外协）,钻深孔(外协)
铣,数控铣
铣(中心),铣削中心
铣(中心) WI-150,铣削中心
铣(中心)WI-150,铣削中心
铣(中心)检验,铣削中心检验
铣(中心)检验  PII-G106240-01,铣削中心检验
铣(中心)检验 PII-G32802000-S,铣削中心检验
铣(中心)检验 详细参见检验指导书,铣削中心检验 详细参见检验指导书
铣(中心)检验PII-G256105-01,铣削中心检验
铣(普),普通铣削
铣(普)检验,普通铣削检验
铣中心,铣中心
铣中心检验,铣中心检验
铣（中心）,铣削中心
铣（中心） WI-150,铣削中心
铣（中心）PS-36432100-01-50,铣削中心
铣（中心）WI-150,铣削中心
铣（中心）检验,铣削中心检验
铣（中心）检验 PII-G00808,铣削中心检验
铣（中心）检验 PII-G133104146R-S,铣削中心检验
铣（中心）检验 PII-G32802000-H PS工艺,铣削中心检验 PS工艺
铣（中心）检验 PII-G36431000-01,铣削中心检验
铣（中心）检验 PII-G36431100-01,铣削中心检验
铣（中心）检验 PII-G36431200-01,铣削中心检验
铣（中心）检验 PII-G36432100-01,铣削中心检验
铣（中心）检验 PII-G39590900-H PS工艺,铣削中心检验 PS工艺
铣（中心）检验 PII-G39659000-02,铣削中心检验
铣（中心）检验 PII-G39789000(PS-A),铣削中心检验
铣（中心）检验 PII-G39869008-SF,铣削中心检验
铣（中心）检验PII-G181060-01,铣削中心检验
铣（中心）检验PII-G39665000-10-B,铣削中心检验
铣（普） WI-044,普通铣削
铣（普）WI-044,普通铣削
铣（普）检验 PII-G133104146R-S,普通铣削检验
铣（普）检验 PII-G39659000-02,普通铣削检验
铣（普）检验PII-G02440,普通铣削检验
铣（普）检验PII-G256105-01,普通铣削检验
锯,锯
锯(可外协),锯(外协)
锯-外协,锯(外协)
锯床,锯
锯床（可外协）,锯(外协)
锯（可外协）,锯(外协)
锯（外协）,锯(外协)
镀铬,镀铬
镀铬(外,镀铬(外协)
镀铬(外协),镀铬(外协)
镀铬(外协）,镀铬(外协)
镀铬-外协,镀铬(外协)
镀铬外协,镀铬(外协)
镀铬外协检验,镀铬检验
镀铬检验,镀铬检验
镀铬（外协）,镀铬(外协)
阳极氧化,阳极氧化
阳极氧化(外协),阳极氧化(外协)
阳极氧化-外协,阳极氧化(外协)
阳极氧化外协,阳极氧化(外协)
阳极氧化外协检验,阳极氧化检验
阳极氧化检验,阳极氧化检验
阳极氧化（外协）,阳极氧化(外协)
阳极氧化（外协）检验,阳极氧化(外协)检验
非真空热处理,非真空热处理
非真空热处理-可外协,非真空热处理-可(外协)
非真空热处理-外协,非真空热处理(外协)
非真空热处理（可外协）,非真空热处理(外协)
清洗 cleaning,清洗
五轴磨削,五轴磨
五轴磨削 Five Axis Grinding,五轴磨
车铣,多轴车铣
车铣复合,多轴车铣
车铣复合Mill-Turn,多轴车铣
激光焊接 Laser Welding,激光焊接
线切割 (慢走丝),线切割
线切割-慢丝,线切割
线切割-慢丝(可外协,线切割
线切割-众志达,线切割
真空热处理Va,真空热处理
钳工,装配
钳工（装配）,装配
钳装,装配
清洗Cleaning,清洗
多轴车铣复合,多轴车铣
多轴车铣复合中心,多轴车铣
五轴磨-苏州阿诺,五轴磨
线切割-慢丝(可外协),线切割
线切割-慢丝（可外协）,线切割
线切割（可外协）-众志达,线切割
真空热处理（可外协）Va,真空热处理
线切割-慢丝,线切割
钳工(装配),装配
激光焊接(可外协）L,激光焊接
