Step_Name,Cleaned_Operation
喷丸检验 PII-G39789000(PS-A),喷丸检验
喷丸检验 PII-G39869008-SF,喷丸检验
喷丸检验 参见相关检验文件,喷丸检验 参见相关检验文件
喷丸检验 详细参见检验指导书,喷丸检验 详细参见检验指导书
喷丸检验PII-G01553,喷丸检验
喷丸检验PII-G02211,喷丸检验
喷丸检验PII-G02304,喷丸检验
喷丸检验PII-G02440,喷丸检验
喷丸检验PII-G03600,喷丸检验
喷丸检验PII-G03646,喷丸检验
喷丸检验PII-G106157-02,喷丸检验
喷丸检验PII-G139130-01,喷丸检验
喷丸检验PII-G22578200,喷丸检验
喷丸检验PII-G291320,喷丸检验
喷丸检验参见相关检验文件,喷丸检验参见相关检验文件
喷砂,喷砂
喷砂  PS-36432100-01-90,喷砂
喷砂  WI-132,喷砂
喷砂 PS-608383-70,喷砂
喷砂 WI-132,喷砂
喷砂WI-132,喷砂
喷砂检验,喷砂检验
喷砂检验 PII-G36431000-01,喷砂检验
喷砂检验 PII-G36431100-01,喷砂检验
喷砂检验 PII-G36431200-01,喷砂检验
喷砂检验 PII-G36432100-01,喷砂检验
喷砂检验 PII-G608383,喷砂检验
备料,备料
备料（锯断）,锯
外包,外包
外包 PS-M046780C001-50,外包
外包 WI-040,外包
外包WI-040,外包
外包检验,外包检验
外包检验 PII-GM046780C001,外包检验
外包检验 PII-Q00011,外包检验
外包检验PII-Q00011,外包检验
外协-丝网印刷,丝网印刷(外协)
外协-机加工,机加工(外协)
外协-机加工检验,机加工(外协)检验
外协-灭菌(辐照),灭菌(辐照)(外协)
外协-灭菌(辐照)进货检验,灭菌(辐照)进货(外协)检验
外协-灭菌进货检验,灭菌进货(外协)检验
外协-热处理,非真空热处理(外协)
外协-着色,着色(外协)
外协-着色检验,着色(外协)检验
外协-磨(五轴),五轴磨(外协)
外协-磨(五轴)检验,五轴磨(外协)检验
外协-钻(深孔),深孔钻(外协)
外协-阳极氧化,阳极氧化(外协)
外协-阳极氧化检验,阳极氧化(外协)检验
外协-领料,领料(外协)
外协电火花,外协电火花
外协领料,外协领料
外圆磨,外圆磨
外圆磨检验,外圆磨检验
外圆磨（外协）,外圆磨(外协)
多轴车铣复合,多轴车铣复合
多轴车铣复合中心,多轴车铣复合中心
安规测试,安规测试
局部钝化,钝化
工具磨,工具磨
工具磨检验,工具磨检验
平面磨,平面磨
微喷砂,微喷砂
慢走丝,慢走丝
慢走丝检验,慢走丝检验
打标,激光打标
打标 PS-608383-90,激光打标
打标 WI-009,激光打标
打标(Rofin),打标(Rofin)
打标(Rofin)WI-009,打标(Rofin)
打标PS-231290-10,激光打标
打标WI-009,激光打标
打标_包装,打标_包装
打标包装,打标包装
打标包装 WI-247,打标包装
打标包装 WI-353,打标包装
打标包装WI-219,打标包装
打标包装WI-247,打标包装
打标检验,打标检验
打标检验  PII-G109280,打标检验
打标检验 PII-G00808,打标检验
打标检验 PII-G178130,打标检验
打标检验 PII-G33721023B,打标检验
打标检验 PII-G33723055B,打标检验
打标检验 PII-G35040000,打标检验
打标检验 PII-G36432000,打标检验
打标检验 PII-G36470100A,打标检验
打标检验 PII-G36470105A,打标检验
打标检验 PII-G36471100A,打标检验
打标检验 PII-G36477000A,打标检验
打标检验 PII-G608383,打标检验
打标检验 PII-Q00011,打标检验
打标检验 详细参见检验指导书,打标检验 详细参见检验指导书
打标检验PII-G01553,打标检验
打标检验PII-G02304,打标检验
打标检验PII-G139170-04,打标检验
打标检验PII-G150150,打标检验
打标检验PII-G178200A,打标检验
打标检验PII-G178210A,打标检验
打标检验PII-G181060,打标检验
打标检验PII-G291320,打标检验
打标检验PII-G33540000 PS工艺,打标检验 PS工艺
打标检验PII-Q00011,打标检验
打标检验参见相关检验文件,打标检验参见相关检验文件
打标（OEM）,激光打标(外协)
打标（检验）,打标（检验）
折弯,折弯
抛光,抛光
抛光 PS-36432100-01-100,抛光
抛光 PS-608383-20,抛光
抛光 WI-039,抛光
抛光(OEM),抛光(外协)
抛光WI-039,抛光
抛光WI-309,抛光
抛光检验,抛光检验
抛光检验 详细参见检验指导书,抛光检验 详细参见检验指导书
数控车,数控车
数控车(可外协),数控车(外协)
数控车（可外协）,数控车(外协)
数控车（外协）,数控车(外协)
数控铣,数控铣
数控铣(可外协),数控铣(外协)
数控铣（可外协）,数控铣(外协)
数控铣（外协）,数控铣(外协)
数车,数控车
数车检验,数车检验
数铣,数控铣
数铣检验,数铣检验
断料,断料
无心磨,无心磨
无心磨(可外协),无心磨(外协)
无心磨外协,无心磨(外协)
无心磨外协检验,无心磨检验
无心磨检验,无心磨检验
无心磨（可外协）,无心磨(外协)
普车,普通车削
普车检验,普车检验
普铣,普通铣削
普铣检验,普铣检验
末道清洗,清洗
末道清洗 PS-36432000-10,清洗
末道清洗 WI-121,清洗
末道清洗WI-121,清洗
机加工外协,机加工(外协)
机加工外协 N/A,机加工外协 N/A
机加工外协检验,机加工检验
机加工检验,机加工检验
柠檬酸钝化,钝化
检验,检验
检验  PII-G109280,检验
检验 PII-C00017,检验
检验 PII-C00018,检验
检验 PII-C00021,检验
检验 PII-C00027,检验
检验 PII-C00355,检验
检验 PII-C00363,检验
检验 PII-C00364,检验
检验 PII-C00372,检验
检验 PII-C00373,检验
检验 PII-C00637,检验
检验 PII-C00638,检验
检验 PII-G106240-01,检验
检验 PII-G291830-01,检验
检验 PII-G36114030,检验
检验 PII-G36124030,检验
检验 PII-G36134000-02,检验
检验 PII-G36134030-01,检验
检验 PII-G36310000-02,检验
检验 PII-G36340000/PII-C00364,检验/
检验 PII-G36431000-01,检验
检验 PII-G36431100-01,检验
检验 PII-G36431200-01,检验
检验 PII-G36432000-02,检验
检验 PII-G36432000-03,检验
检验 PII-G36432100-01,检验
