分类         ,Material Number    ,CFN                ,Group    ,Ver. ,Plant ,Operation/activity ,Operation description ,OEE  ,调试时间   ,备注
器械         ,2160210-01-01      ,2160210-01-01      ,50194471 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,2160210-01-02      ,2160210-01-02      ,50194479 ,PV01 , 1303 ,                30 ,车削                    ,0.0  , 360.0 ,
器械         ,2160212-01         ,2160212-01         ,50194529 ,PV01 , 1303 ,                50 ,数控铣                   ,0.3  ,   1.5 ,
器械         ,2160212-01-01      ,2160212-01-01      ,50194513 ,PV01 , 1303 ,                20 ,数控铣                   ,0.8  ,  12.5 ,
器械         ,2160212-01-02      ,2160212-01-02      ,50194521 ,PV01 , 1303 ,                30 ,车削                    ,0.0  , 280.0 ,
器械         ,2160214-01         ,2160214-01         ,50194568 ,PV01 , 1303 ,                50 ,数控铣                   ,0.3  ,   1.5 ,
器械         ,2160214-01-01      ,2160214-01-01      ,50194552 ,PV01 , 1303 ,                20 ,数控铣                   ,0.8  ,  12.5 ,
器械         ,2160214-01-02      ,2160214-01-02      ,50194559 ,PV01 , 1303 ,                30 ,车削                    ,0.0  ,       ,
器械         ,2160216-01         ,2160216-01         ,50194609 ,PV01 , 1303 ,                50 ,数控铣                   ,0.3  ,   1.5 ,
器械         ,2160216-01-01      ,2160216-01-01      ,50194594 ,PV01 , 1303 ,                20 ,数控铣                   ,0.8  ,  12.5 ,
器械         ,2160216-01-02      ,2160216-01-02      ,50194602 ,PV01 , 1303 ,                30 ,车削                    ,0.0  ,       ,
器械         ,2160218-01         ,2160218-01         ,50194649 ,PV01 , 1303 ,                50 ,数控铣                   ,0.3  ,   1.5 ,
器械         ,2160218-01-01      ,2160218-01-01      ,50194633 ,PV01 , 1303 ,                20 ,数控铣                   ,0.8  ,  12.5 ,
器械         ,2160218-01-02      ,2160218-01-02      ,50194641 ,PV01 , 1303 ,                30 ,车削                    ,0.0  ,       ,
器械         ,2160220-01         ,2160220-01         ,50194691 ,PV01 , 1303 ,                50 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,2160220-01-01      ,2160220-01-01      ,50194674 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
