分类         ,Material Number    ,CFN                ,Group    ,Ver. ,Plant ,Operation/activity ,Operation description ,OEE  ,调试时间   ,备注
KH转OEM 植入物 ,36136000-02        ,36136000-02        ,50267539 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36146000-02        ,36146000-02        ,50267540 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36147500-02        ,36147500-02        ,50267541 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36147500-02        ,36147500-02        ,50267541 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,非数控铣产品
KH转OEM 植入物 ,36147500-03        ,36147500-03        ,50267542 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36147500-04        ,36147500-04        ,50267502 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36148000-02        ,36148000-02        ,50267503 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36148000-02        ,36148000-02        ,50267503 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,非数控铣产品
KH转OEM 植入物 ,36148500-02        ,36148500-02        ,50267504 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36148500-02        ,36148500-02        ,50267504 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,非数控铣产品
KH转OEM 植入物 ,36170000-03        ,36170000-03        ,50267505 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36174000-02        ,36174000-02        ,50267507 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36174500-02        ,36174500-02        ,50267508 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36175000-02        ,36175000-02        ,50267509 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36175500-02        ,36175500-02        ,50267510 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36176500-02        ,36176500-02        ,50267512 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36177000-02        ,36177000-02        ,50267513 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36184000-02        ,36184000-02        ,50267514 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36184500-02        ,36184500-02        ,50267515 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36185000-02        ,36185000-02        ,50267516 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36185500-02        ,36185500-02        ,50267517 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36186500-02        ,36186500-02        ,50267519 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36187000-02        ,36187000-02        ,50267520 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36310000-03        ,36310000-03        ,50267521 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36314500-02        ,36314500-02        ,50267522 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36315000-02        ,36315000-02        ,50267523 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36315500-02        ,36315500-02        ,50267524 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36316000-02        ,36316000-02        ,50267525 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36316500-02        ,36316500-02        ,50267526 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36317000-02        ,36317000-02        ,50267527 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36350000-03        ,36350000-03        ,50267528 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36354500-02        ,36354500-02        ,50267529 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36355000-02        ,36355000-02        ,50267530 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36355500-02        ,36355500-02        ,50267531 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
KH转OEM 植入物 ,36356500-02        ,36356500-02        ,50267533 ,PV01 , 1303 ,                10 ,纵切车                   ,0.0  ,       ,
器械         ,00613994122568     ,6971116            ,50209469 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00613994142818     ,7484114            ,50209837 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00613994206411     ,7756153            ,50272590 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00613994210906     ,7756205            ,50271617 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00613994236159     ,7576310            ,50209885 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00613994236159     ,7576310            ,50209885 ,PV01 , 1303 ,                30 ,数控铣                   ,0.4  ,   2.5 ,
器械         ,00613994239327     ,9561424            ,50210364 ,PV01 , 1303 ,                40 ,数控铣                   ,0.75 ,   6.0 ,
器械         ,00613994302793     ,7570930            ,50271696 ,PV01 , 1303 ,                20 ,数控铣                   ,0.2  ,   1.5 ,
器械         ,00613994302793     ,7570930            ,50271696 ,PV01 , 1303 ,                40 ,线切割                   ,0.7  ,   3.0 ,
器械         ,00613994302809     ,7570907            ,50272589 ,PV01 , 1303 ,                40 ,车削                    ,0.0  , 300.0 ,
器械         ,00613994302809     ,7570907            ,50272589 ,PV01 , 1303 ,                60 ,数控铣                   ,0.0  , 560.0 ,新品还未加工过
器械         ,00613994315762     ,8360911            ,50210034 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 , 360.0 ,
器械         ,00613994315830     ,7576309            ,50209884 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 , 750.0 ,
器械         ,00613994315830     ,7576309            ,50209884 ,PV01 , 1303 ,                30 ,数控铣                   ,0.3  , 150.0 ,
器械         ,00613994330253     ,7756188            ,50271616 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 , 450.0 ,
器械         ,00613994429742     ,5480004V           ,50199846 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  40.0 ,
器械         ,00613994606440     ,7756241            ,50209908 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00613994606440     ,7756241            ,50209908 ,PV01 , 1303 ,                70 ,线切割（可外协）              ,0.8  ,   2.0 ,
器械         ,00613994606440     ,7756241            ,50209908 ,PV01 , 1303 ,                80 ,数控铣                   ,0.85 ,   2.5 ,
器械         ,00613994761576     ,5484313            ,50200826 ,PV01 , 1303 ,                20 ,数控铣                   ,0.8  ,   8.0 ,
器械         ,00613994761576     ,5484313            ,50200826 ,PV01 , 1303 ,                30 ,数控铣                   ,0.8  ,   6.0 ,
器械         ,00613994761583     ,5484314            ,50200835 ,PV01 , 1303 ,                20 ,数控铣                   ,0.8  ,   8.0 ,
器械         ,00613994761583     ,5484314            ,50200835 ,PV01 , 1303 ,                30 ,数控铣                   ,0.8  ,   6.0 ,
器械         ,00613994876577     ,2942002            ,50195085 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876577     ,2942002            ,50195085 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994876584     ,2942003            ,50195093 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876584     ,2942003            ,50195093 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994876591     ,2942004            ,50195101 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876591     ,2942004            ,50195101 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994876607     ,2942005            ,50195109 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876607     ,2942005            ,50195109 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994876614     ,2942006            ,50195117 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876614     ,2942006            ,50195117 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994876621     ,2942007            ,50195125 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876621     ,2942007            ,50195125 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994876638     ,2942008            ,50195133 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876638     ,2942008            ,50195133 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994876645     ,2942009            ,50195141 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876645     ,2942009            ,50195141 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994876652     ,2942010            ,50195149 ,PV01 , 1303 ,                20 ,数控铣（可外协）              ,0.8  ,   5.0 ,
器械         ,00613994876652     ,2942010            ,50195149 ,PV01 , 1303 ,                50 ,线切割（可外协）              ,0.81 ,   2.0 ,
器械         ,00613994946614     ,5484338            ,50271693 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169047907     ,5584255            ,50205905 ,PV01 , 1303 ,                20 ,数控铣                   ,0.8  ,  11.0 ,
器械         ,00643169047914     ,5584260            ,50205929 ,PV01 , 1303 ,                10 ,数控铣                   ,0.8  ,  11.0 ,
器械         ,00643169363533     ,3036024            ,50256107 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169393622     ,7480740            ,50209812 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169393639     ,7480741            ,50209816 ,PV01 , 1303 ,                20 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169393677     ,7480742            ,50209818 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169393684     ,7480760            ,50209835 ,PV01 , 1303 ,                20 ,线切割                   ,0.71 ,   2.0 ,
器械         ,00643169393684     ,7480760            ,50209835 ,PV01 , 1303 ,                30 ,线切割                   ,0.73 ,   2.5 ,
器械         ,00643169393684     ,7480760            ,50209835 ,PV01 , 1303 ,                40 ,数控铣                   ,0.75 ,   2.5 ,
器械         ,00643169393684     ,7480760            ,50209835 ,PV01 , 1303 ,                70 ,线切割                   ,0.73 ,   2.5 ,
器械         ,00643169492431     ,6642006            ,50209316 ,PV01 , 1303 ,                10 ,纵切车                   ,0.65 ,  24.0 ,
器械         ,00643169492431     ,6642006            ,50209316 ,PV01 , 1303 ,                30 ,线切割                   ,0.75 ,   2.0 ,
器械         ,00643169492431     ,6642006            ,50209318 ,PV02 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169492431     ,6642006            ,50209318 ,PV02 , 1303 ,                40 ,线切割                   ,0.75 ,   2.0 ,
器械         ,00643169523890     ,2156512            ,50194264 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523890     ,2156512            ,50194264 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523906     ,2156514            ,50194272 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523906     ,2156514            ,50194272 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523913     ,2156516            ,50194280 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523913     ,2156516            ,50194280 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523920     ,2150318            ,50192372 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523920     ,2150318            ,50192372 ,PV01 , 1303 ,                40 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523937     ,2150320            ,50192380 ,PV01 , 1303 ,                20 ,数控铣                   ,0.85 ,   7.5 ,
器械         ,00643169523937     ,2150320            ,50192380 ,PV01 , 1303 ,                40 ,数控铣                   ,0.85 ,   6.0 ,
器械         ,00643169523944     ,2152410            ,50192454 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523944     ,2152410            ,50192454 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523951     ,2152412            ,50192463 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523951     ,2152412            ,50192463 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523968     ,2152414            ,50192471 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523968     ,2152414            ,50192471 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523975     ,2152416            ,50192479 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523975     ,2152416            ,50192479 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523982     ,2152418            ,50194042 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523982     ,2152418            ,50194042 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523999     ,2156518            ,50194289 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169523999     ,2156518            ,50194289 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524002     ,2156520            ,50194297 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524002     ,2156520            ,50194297 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524019     ,2156610            ,50194305 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524019     ,2156610            ,50194305 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524026     ,2156612            ,50194313 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524026     ,2156612            ,50194313 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524033     ,2156614            ,50194321 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524033     ,2156614            ,50194321 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524040     ,2156616            ,50194329 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524040     ,2156616            ,50194329 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524057     ,2156618            ,50194337 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524057     ,2156618            ,50194337 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524064     ,2156620            ,50194344 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524064     ,2156620            ,50194344 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524071     ,2158412            ,50194351 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524071     ,2158412            ,50194351 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524088     ,2158414            ,50194359 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524088     ,2158414            ,50194359 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524095     ,2158416            ,50194367 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524095     ,2158416            ,50194367 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524101     ,2158418            ,50194375 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524101     ,2158418            ,50194375 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524118     ,2158514            ,50194391 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524118     ,2158514            ,50194391 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524125     ,2158516            ,50194399 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524125     ,2158516            ,50194399 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524132     ,2158420            ,50194383 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524132     ,2158420            ,50194383 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524149     ,2158518            ,50194407 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524149     ,2158518            ,50194407 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524156     ,2158520            ,50194415 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524156     ,2158520            ,50194415 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524163     ,2158616            ,50194423 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524163     ,2158616            ,50194423 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524170     ,2158618            ,50194431 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524170     ,2158618            ,50194431 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524187     ,2158620            ,50194439 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524187     ,2158620            ,50194439 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524194     ,2156510            ,50194256 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524194     ,2156510            ,50194256 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524200     ,2150310            ,50192336 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524200     ,2150310            ,50192336 ,PV01 , 1303 ,                40 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524217     ,2150312            ,50192345 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524217     ,2150312            ,50192345 ,PV01 , 1303 ,                40 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524224     ,2150314            ,50192353 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524224     ,2150314            ,50192353 ,PV01 , 1303 ,                40 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524231     ,2150316            ,50192363 ,PV01 , 1303 ,                20 ,数控铣                   ,0.85 ,   7.0 ,
器械         ,00643169524231     ,2150316            ,50192363 ,PV01 , 1303 ,                40 ,数控铣                   ,0.85 ,   5.5 ,
器械         ,00643169524248     ,2152420            ,50194050 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524248     ,2152420            ,50194050 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524255     ,2152510            ,50194058 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524255     ,2152510            ,50194058 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524262     ,2152512            ,50194066 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524262     ,2152512            ,50194066 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524279     ,2152514            ,50194074 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524279     ,2152514            ,50194074 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524286     ,2152516            ,50194083 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524286     ,2152516            ,50194083 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524293     ,2152518            ,50194091 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524293     ,2152518            ,50194091 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524309     ,2152520            ,50194102 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524309     ,2152520            ,50194102 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524316     ,2152612            ,50194110 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524316     ,2152612            ,50194110 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524323     ,2152614            ,50194118 ,PV01 , 1303 ,                20 ,数控铣                   ,0.85 ,   8.5 ,
器械         ,00643169524323     ,2152614            ,50194118 ,PV01 , 1303 ,                30 ,数控铣                   ,0.7  ,   2.5 ,
器械         ,00643169524330     ,2152616            ,50194126 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524330     ,2152616            ,50194126 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524347     ,2152618            ,50194134 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524347     ,2152618            ,50194134 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524354     ,2152620            ,50194141 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524354     ,2152620            ,50194141 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524361     ,2154416            ,50194149 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524361     ,2154416            ,50194149 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524378     ,2154418            ,50194157 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524378     ,2154418            ,50194157 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524385     ,2154420            ,50194165 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524385     ,2154420            ,50194165 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524392     ,2154516            ,50194173 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524392     ,2154516            ,50194173 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524408     ,2154518            ,50194180 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524408     ,2154518            ,50194180 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524415     ,2154520            ,50194188 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524415     ,2154520            ,50194188 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524422     ,2154618            ,50194196 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524422     ,2154618            ,50194196 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524439     ,2154620            ,50194204 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524439     ,2154620            ,50194204 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524446     ,2156410            ,50194211 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524446     ,2156410            ,50194211 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524453     ,2156412            ,50194217 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524453     ,2156412            ,50194217 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524460     ,2156414            ,50194225 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524460     ,2156414            ,50194225 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524477     ,2156416            ,50194233 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524477     ,2156416            ,50194233 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524484     ,2156418            ,50194241 ,PV01 , 1303 ,                20 ,数控铣                   ,0.0  ,       ,近2年未加工过
器械         ,00643169524484     ,2156418            ,50194241 ,PV01 , 1303 ,                30 ,数控铣                   ,0.0  ,       ,近2年未加工过
