Material Number,CFN,Group,Ver.,Plant,Group Counter,Sequence,Operation/activity,Operation description,Work Center,Base Quantity,Task list UOM,Machine,Unit (Machine),Labor,Unit (Labor),Fix lot size,Min lot size,Rounding Value,Max lot size
36136000-02,36136000-02,50267539,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,966.0,S,368.0,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,24.0,S,36.0,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,16.0,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,50,钝化,KPL08-03,1,EA,0.0,S,10.8,S,0.0,30.0,0.0,150.0
36136000-02,36136000-02,50267539,PV01,1303,1,0,60,终检,I01-10,1,EA,0.0,S,131.4,S,0.0,30.0,0.0,150.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,499.0,S,214.0,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,13.85,S,27.69,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,16.0,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,30.0,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,50,钝化,KPL08-03,1,EA,0.0,S,11.0,S,0.0,30.0,0.0,260.0
36146000-02,36146000-02,50267540,PV01,1303,1,0,60,终检,I01-10,1,EA,0.0,S,136.4,S,0.0,30.0,0.0,260.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,20,数控铣,KMC08-09,1,EA,270.0,S,130.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,30,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,40,清洗,C01-10,1,EA,0.0,S,30.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,50,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,60,阳极氧化（外协）,P01-10,1,EA,0.0,S,5.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,70,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36147500-02,36147500-02,50267541,PV01,1303,1,0,80,终检,I01-10,1,EA,0.0,S,105.0,S,0.0,30.0,0.0,120.0
36147500-03,36147500-03,50267542,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,306.0,S,162.0,S,0.0,30.0,0.0,400.0
36147500-03,36147500-03,50267542,PV01,1303,1,0,20,清洗,C01-10,1,EA,0.0,S,13.0,S,0.0,30.0,0.0,400.0
36147500-03,36147500-03,50267542,PV01,1303,1,0,30,钳工,B01-10,1,EA,0.0,S,49.5,S,0.0,30.0,0.0,400.0
36147500-03,36147500-03,50267542,PV01,1303,1,0,40,包装,P01-10,1,EA,0.0,S,1.5,S,0.0,30.0,0.0,400.0
36147500-03,36147500-03,50267542,PV01,1303,1,0,50,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,400.0
36147500-03,36147500-03,50267542,PV01,1303,1,0,60,阳极氧化（外协）,I01-10,1,EA,0.0,S,18.0,S,0.0,30.0,0.0,400.0
36147500-04,36147500-04,50267502,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,462.0,S,246.0,S,0.0,120.0,0.0,240.0
36147500-04,36147500-04,50267502,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,15.0,S,30.0,S,0.0,120.0,0.0,240.0
36147500-04,36147500-04,50267502,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,15.0,S,0.0,120.0,0.0,240.0
36147500-04,36147500-04,50267502,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,120.0,0.0,240.0
36147500-04,36147500-04,50267502,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,2.5,S,0.0,120.0,0.0,240.0
36147500-04,36147500-04,50267502,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,120.0,0.0,240.0
36147500-04,36147500-04,50267502,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,30.0,S,0.0,120.0,0.0,240.0
36148000-02,36148000-02,50267503,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36148000-02,36148000-02,50267503,PV01,1303,1,0,20,数控铣,KMC08-09,1,EA,270.0,S,130.0,S,0.0,30.0,0.0,120.0
36148000-02,36148000-02,50267503,PV01,1303,1,0,30,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36148000-02,36148000-02,50267503,PV01,1303,1,0,40,清洗,C01-10,1,EA,0.0,S,30.0,S,0.0,30.0,0.0,120.0
36148000-02,36148000-02,50267503,PV01,1303,1,0,50,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36148000-02,36148000-02,50267503,PV01,1303,1,0,60,阳极氧化（外协）,P01-10,1,EA,0.0,S,5.0,S,0.0,30.0,0.0,120.0
36148000-02,36148000-02,50267503,PV01,1303,1,0,70,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36148000-02,36148000-02,50267503,PV01,1303,1,0,80,终检,I01-10,1,EA,0.0,S,105.0,S,0.0,30.0,0.0,120.0
36148500-02,36148500-02,50267504,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36148500-02,36148500-02,50267504,PV01,1303,1,0,20,数控铣,KMC08-09,1,EA,270.0,S,130.0,S,0.0,30.0,0.0,120.0
36148500-02,36148500-02,50267504,PV01,1303,1,0,30,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36148500-02,36148500-02,50267504,PV01,1303,1,0,40,清洗,C01-10,1,EA,0.0,S,30.0,S,0.0,30.0,0.0,120.0
36148500-02,36148500-02,50267504,PV01,1303,1,0,50,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36148500-02,36148500-02,50267504,PV01,1303,1,0,60,阳极氧化（外协）,P01-10,1,EA,0.0,S,5.0,S,0.0,30.0,0.0,120.0
36148500-02,36148500-02,50267504,PV01,1303,1,0,70,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36148500-02,36148500-02,50267504,PV01,1303,1,0,80,终检,I01-10,1,EA,0.0,S,105.0,S,0.0,30.0,0.0,120.0
36170000-03,36170000-03,50267505,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,426.0,S,228.267,S,0.0,120.0,0.0,240.0
36170000-03,36170000-03,50267505,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,15.0,S,30.0,S,0.0,120.0,0.0,240.0
36170000-03,36170000-03,50267505,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,2.133,S,0.0,120.0,0.0,240.0
36170000-03,36170000-03,50267505,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,65.0,S,0.0,120.0,0.0,240.0
36170000-03,36170000-03,50267505,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,5.0,S,0.0,120.0,0.0,240.0
36170000-03,36170000-03,50267505,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,120.0,0.0,240.0
36170000-03,36170000-03,50267505,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,75.0,S,0.0,120.0,0.0,240.0
36174000-02,36174000-02,50267507,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1680.0,S,870.0,S,0.0,30.0,0.0,120.0
36174000-02,36174000-02,50267507,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36174000-02,36174000-02,50267507,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36174000-02,36174000-02,50267507,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36174000-02,36174000-02,50267507,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36174000-02,36174000-02,50267507,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36174000-02,36174000-02,50267507,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36174500-02,36174500-02,50267508,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1680.0,S,870.0,S,0.0,30.0,0.0,120.0
36174500-02,36174500-02,50267508,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36174500-02,36174500-02,50267508,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36174500-02,36174500-02,50267508,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36174500-02,36174500-02,50267508,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36174500-02,36174500-02,50267508,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36174500-02,36174500-02,50267508,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36175000-02,36175000-02,50267509,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1680.0,S,870.0,S,0.0,30.0,0.0,120.0
36175000-02,36175000-02,50267509,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36175000-02,36175000-02,50267509,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36175000-02,36175000-02,50267509,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36175000-02,36175000-02,50267509,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36175000-02,36175000-02,50267509,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36175000-02,36175000-02,50267509,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36175500-02,36175500-02,50267510,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1680.0,S,870.0,S,0.0,30.0,0.0,120.0
36175500-02,36175500-02,50267510,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36175500-02,36175500-02,50267510,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36175500-02,36175500-02,50267510,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36175500-02,36175500-02,50267510,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36175500-02,36175500-02,50267510,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36175500-02,36175500-02,50267510,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36176500-02,36176500-02,50267512,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1680.0,S,870.0,S,0.0,30.0,0.0,120.0
36176500-02,36176500-02,50267512,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36176500-02,36176500-02,50267512,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36176500-02,36176500-02,50267512,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36176500-02,36176500-02,50267512,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36176500-02,36176500-02,50267512,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36176500-02,36176500-02,50267512,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36177000-02,36177000-02,50267513,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1680.0,S,870.0,S,0.0,30.0,0.0,120.0
36177000-02,36177000-02,50267513,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36177000-02,36177000-02,50267513,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36177000-02,36177000-02,50267513,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36177000-02,36177000-02,50267513,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36177000-02,36177000-02,50267513,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36177000-02,36177000-02,50267513,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36184000-02,36184000-02,50267514,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36184000-02,36184000-02,50267514,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36184000-02,36184000-02,50267514,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36184000-02,36184000-02,50267514,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36184000-02,36184000-02,50267514,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36184000-02,36184000-02,50267514,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36184000-02,36184000-02,50267514,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36184500-02,36184500-02,50267515,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36184500-02,36184500-02,50267515,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36184500-02,36184500-02,50267515,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36184500-02,36184500-02,50267515,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36184500-02,36184500-02,50267515,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36184500-02,36184500-02,50267515,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36184500-02,36184500-02,50267515,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36185000-02,36185000-02,50267516,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36185000-02,36185000-02,50267516,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36185000-02,36185000-02,50267516,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36185000-02,36185000-02,50267516,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36185000-02,36185000-02,50267516,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36185000-02,36185000-02,50267516,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36185000-02,36185000-02,50267516,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36185500-02,36185500-02,50267517,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36185500-02,36185500-02,50267517,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36185500-02,36185500-02,50267517,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36185500-02,36185500-02,50267517,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36185500-02,36185500-02,50267517,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36185500-02,36185500-02,50267517,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36185500-02,36185500-02,50267517,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36186500-02,36186500-02,50267519,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36186500-02,36186500-02,50267519,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36186500-02,36186500-02,50267519,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36186500-02,36186500-02,50267519,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36186500-02,36186500-02,50267519,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36186500-02,36186500-02,50267519,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36186500-02,36186500-02,50267519,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36187000-02,36187000-02,50267520,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,960.0,S,510.0,S,0.0,30.0,0.0,120.0
36187000-02,36187000-02,50267520,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,60.0,S,0.0,30.0,0.0,120.0
36187000-02,36187000-02,50267520,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,4.267,S,0.0,30.0,0.0,120.0
36187000-02,36187000-02,50267520,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36187000-02,36187000-02,50267520,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,10.0,S,0.0,30.0,0.0,120.0
36187000-02,36187000-02,50267520,PV01,1303,1,0,60,阳极氧化（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36187000-02,36187000-02,50267520,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,190.0,S,0.0,30.0,0.0,120.0
36310000-03,36310000-03,50267521,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,132.414,S,88.0,S,0.0,30.0,0.0,580.0
36310000-03,36310000-03,50267521,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,6.207,S,15.517,S,0.0,30.0,0.0,580.0
36310000-03,36310000-03,50267521,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,8.0,S,0.0,30.0,0.0,580.0
36310000-03,36310000-03,50267521,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,30.0,S,0.0,30.0,0.0,580.0
36310000-03,36310000-03,50267521,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,3.0,S,0.0,30.0,0.0,580.0
36310000-03,36310000-03,50267521,PV01,1303,1,0,60,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,580.0
36310000-03,36310000-03,50267521,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,54.0,S,0.0,30.0,0.0,580.0
36314500-02,36314500-02,50267522,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1880.0,S,980.0,S,0.0,30.0,0.0,120.0
36314500-02,36314500-02,50267522,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,90.0,S,0.0,30.0,0.0,120.0
36314500-02,36314500-02,50267522,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36314500-02,36314500-02,50267522,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,240.0,S,0.0,30.0,0.0,120.0
36314500-02,36314500-02,50267522,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,20.0,S,0.0,30.0,0.0,120.0
36314500-02,36314500-02,50267522,PV01,1303,1,0,60,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36314500-02,36314500-02,50267522,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,150.0,S,0.0,30.0,0.0,120.0
36315000-02,36315000-02,50267523,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1880.0,S,980.0,S,0.0,30.0,0.0,120.0
36315000-02,36315000-02,50267523,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,90.0,S,0.0,30.0,0.0,120.0
36315000-02,36315000-02,50267523,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36315000-02,36315000-02,50267523,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,240.0,S,0.0,30.0,0.0,120.0
36315000-02,36315000-02,50267523,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,20.0,S,0.0,30.0,0.0,120.0
36315000-02,36315000-02,50267523,PV01,1303,1,0,60,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36315000-02,36315000-02,50267523,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,150.0,S,0.0,30.0,0.0,120.0
36315500-02,36315500-02,50267524,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1880.0,S,980.0,S,0.0,30.0,0.0,120.0
36315500-02,36315500-02,50267524,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,90.0,S,0.0,30.0,0.0,120.0
36315500-02,36315500-02,50267524,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36315500-02,36315500-02,50267524,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,240.0,S,0.0,30.0,0.0,120.0
36315500-02,36315500-02,50267524,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,20.0,S,0.0,30.0,0.0,120.0
36315500-02,36315500-02,50267524,PV01,1303,1,0,60,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36315500-02,36315500-02,50267524,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,150.0,S,0.0,30.0,0.0,120.0
36316000-02,36316000-02,50267525,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1880.0,S,980.0,S,0.0,30.0,0.0,120.0
36316000-02,36316000-02,50267525,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,90.0,S,0.0,30.0,0.0,120.0
36316000-02,36316000-02,50267525,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36316000-02,36316000-02,50267525,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,240.0,S,0.0,30.0,0.0,120.0
36316000-02,36316000-02,50267525,PV01,1303,1,0,50,钝化,KPL08-03,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36316000-02,36316000-02,50267525,PV01,1303,1,0,60,终检,I01-10,1,EA,0.0,S,180.0,S,0.0,30.0,0.0,120.0
36316500-02,36316500-02,50267526,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1880.0,S,980.0,S,0.0,30.0,0.0,120.0
36316500-02,36316500-02,50267526,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,90.0,S,0.0,30.0,0.0,120.0
36316500-02,36316500-02,50267526,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36316500-02,36316500-02,50267526,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,240.0,S,0.0,30.0,0.0,120.0
36316500-02,36316500-02,50267526,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,20.0,S,0.0,30.0,0.0,120.0
36316500-02,36316500-02,50267526,PV01,1303,1,0,60,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36316500-02,36316500-02,50267526,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,150.0,S,0.0,30.0,0.0,120.0
36317000-02,36317000-02,50267527,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,1880.0,S,980.0,S,0.0,30.0,0.0,120.0
36317000-02,36317000-02,50267527,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,30.0,S,90.0,S,0.0,30.0,0.0,120.0
36317000-02,36317000-02,50267527,PV01,1303,1,0,30,清洗,C01-10,1,EA,0.0,S,60.0,S,0.0,30.0,0.0,120.0
36317000-02,36317000-02,50267527,PV01,1303,1,0,40,钳工,B01-10,1,EA,0.0,S,240.0,S,0.0,30.0,0.0,120.0
36317000-02,36317000-02,50267527,PV01,1303,1,0,50,包装,P01-10,1,EA,0.0,S,20.0,S,0.0,30.0,0.0,120.0
36317000-02,36317000-02,50267527,PV01,1303,1,0,60,着色（外协）,OSP-ANA,1,EA,0.0,S,0.0,S,0.0,30.0,0.0,120.0
36317000-02,36317000-02,50267527,PV01,1303,1,0,70,终检,I01-10,1,EA,0.0,S,150.0,S,0.0,30.0,0.0,120.0
36350000-03,36350000-03,50267528,PV01,1303,1,0,10,纵切车,KSL08-07,1,EA,132.414,S,53.379,S,0.0,290.0,0.0,580.0
36350000-03,36350000-03,50267528,PV01,1303,1,0,20,研磨,KTU08-02,1,EA,6.207,S,15.517,S,0.0,290.0,0.0,580.0
